file_name,gps_info,resolution_unit,exif_offset,make,model,software,orientation,date_time,y_cb_cr_positioning,x_resolution,y_resolution,date,time
HIP_01_ProOne_1_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:27:57,1,72.0,72.0,2024-03-26,14:52:40
HIP_01_ProOne_1_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:28:48,1,72.0,72.0,2024-03-26,15:04:04
HIP_01_ProOne_2_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:29:32,1,72.0,72.0,2024-03-26,14:51:09
HIP_01_ProOne_2_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:30:22,1,72.0,72.0,2024-03-26,15:02:28
HIP_01_ProOne_3_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:31:14,1,72.0,72.0,2024-03-26,14:51:37
HIP_01_ProOne_3_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:32:12,1,72.0,72.0,2024-03-26,15:02:57
HIP_01_ProOne_4_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:33:06,1,72.0,72.0,2024-03-26,14:50:53
HIP_01_ProOne_4_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:33:51,1,72.0,72.0,2024-03-26,15:02:04
HIP_01_ProOne_5_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:34:50,1,72.0,72.0,2024-03-26,14:53:14
HIP_01_ProOne_5_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:35:40,1,72.0,72.0,2024-03-26,15:04:36
HIP_01_ProOne_6_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:36:35,1,72.0,72.0,2024-03-26,14:49:30
HIP_01_ProOne_6_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:37:31,1,72.0,72.0,2024-03-26,15:00:59
HIP_01_ProOne_7_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:38:40,1,72.0,72.0,2024-03-26,14:52:56
HIP_01_ProOne_7_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:39:32,1,72.0,72.0,2024-03-26,15:04:21
HIP_01_ProOne_8_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:40:19,1,72.0,72.0,2024-03-26,14:53:31
HIP_01_ProOne_8_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:41:03,1,72.0,72.0,2024-03-26,15:04:52
HIP_01_ProOne_9_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:41:49,1,72.0,72.0,2024-03-26,14:52:00
HIP_01_ProOne_9_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:42:36,1,72.0,72.0,2024-03-26,15:03:24
